Product Name,Brand Name,Price,Rating,Reviews,Sentiment,Cleaned_Reviews
"Apple iPhone 5c Factory Unlocked Cellphone, 8GB, Blue",Unknown,199.99,1,"I bought this phone back in October 2015 and added a Protection Plan. Now only 7 mos. later the Home button is not working properly. I called the protection plan service provider to submit a repair/replacement claim and they referred me to Apple. Apple said the Limited Warranty expired and referred me back to the service provider. Well, it seems no one is willing to make good on this purchase. I totally understand this is an older phone model, but that's why I purchased a protection plan, now I'm out $274.95 for a bad phone.",Negative,bought phone back october added protection plan mo later home button working properly called protection plan service provider submit repairreplacement claim referred apple apple said limited warranty expired referred back service provider well seems one willing make good purchase totally understand older phone model thats purchased protection plan im bad phone
"Apple iPhone 4s 8GB Unlocked GSM Smartphone w/ Siri, iCloud and 8MP Camera - Black",Unknown,115.0,4,"I LIKE THIS, BUT THE CHARGER WAS WRONG",Positive,like charger wrong
"Apple iPhone 4 8GB, White, for Straight Talk, No Contract",Apple,72.99,4,Received the phone early which is a definite plus since I'm impatient. Looks brand new and got it all set up with no issues. The only issue I had was I was not aware that it didn't come with a charger before I bought it. No biggy since I can get one at any gas station.,Positive,received phone early definite plus since im impatient look brand new got set issue issue aware didnt come charger bought biggy since get one gas station
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",Unknown,99.99,1,"Awful, not unlocked",Negative,awful unlocked
Apple a1549 iPhone 6 64GB T-Mobile (silver),Unknown,309.99,5,she loved it...,Positive,loved
Apple iPhone 4 A1332 32GB Black (GSM Unlocked),Apple,75.0,1,"good afternoon my user is velis33@gmail.com I make a purchase of a 32GB iPhone 4 used the day February 15, 2014, I wonder if I'm already happened with the team why not come ah me anything yet and I waiting time",Negative,good afternoon user velisgmailcom make purchase gb iphone used day february wonder im already happened team come ah anything yet waiting time
Apple iPhone 4 - GSM Unlocked Smartphone - Black - 8GB (Certified Refurbished),Apple,149.99,1,My order came defective. It will not charge. I have six other Iphones. Love them a lot.,Negative,order came defective charge six iphones love lot
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",Unknown,99.99,1,"I bought this iPhone 4S white, certified refurbished by BuySPRY and Fulfilled by Amazon, and a week after I started to use it, the screen became wrong, stripped and then turn black. I am in Argentina, so I don't know what to do, because it doesn't work, but I have no where to claim for a change. I would like an answer for this. Thank you.",Negative,bought iphone white certified refurbished buyspry fulfilled amazon week started use screen became wrong stripped turn black argentina dont know doesnt work claim change would like answer thank
"ALCATEL OneTouch Idol 3 Global Unlocked 4G LTE Smartphone, 5.5 HD IPS Display, 16GB (GSM - US Warranty)",Alcatel,129.0,5,Grate phone for the price. Only draw back battery can't be replaced. but still an excellent phone.,Positive,grate phone price draw back battery cant replaced still excellent phone
Apple iPhone 3GS 8GB Black Factory Unlocked / Not Jailbroken,Apple,33.0,1,"I 'd like to ask how should we do to fix my iphone, came with some problem, it;s not working properly.What i have to do to have it fixed??ThanksMIroel",Negative,like ask fix iphone came problem working properlywhat fixedthanksmiroel
Apple iPhone 5c 8GB (Yellow) - Verizon Wireless,Apple,179.99,5,"Purchased for my daughter for t mobile prepaid service. Had to purchase a micro sim card from tmobile and phone worked perfectly. Phone did not come in the standard iphone white box I'm used to, but upon opening it phone looked new and had all the plastic coverings a new phone should have.",Positive,purchased daughter mobile prepaid service purchase micro sim card tmobile phone worked perfectly phone come standard iphone white box im used upon opening phone looked new plastic covering new phone
Apple iPhone 4S 32GB White - Unlocked,Unknown,155.0,1,"Ordered the ""new"" product because the listing stated ""Factory Unlocked by Apple, Never Opened."" Inside of the non-factory shrink-wrap was masking tape on both ends. The original serial number sticker was covered over by a different serial number sticker for a similar product. Upon checking the warranty for the phone using the serial number, the Apple site said ""We're sorry, but this is a serial number for a product that has been replaced. Please check your information and re-enter your serial number. If your information is correct, you may need to contact us."" Since the serial number is correct, it's either a refurbished phone or a phone that has been used. There was no factory warranty as the listing stated.Always check the warranty on the iPhones if you're buying a ""factory unlocked"" phone. There are a lot of people who will ""unlock"" an old phone and attempt to sell it as new. I did not open the package, but promptly contacted Amazon for a refund.",Negative,ordered new product listing stated factory unlocked apple never opened inside nonfactory shrinkwrap masking tape end original serial number sticker covered different serial number sticker similar product upon checking warranty phone using serial number apple site said sorry serial number product replaced please check information reenter serial number information correct may need contact u since serial number correct either refurbished phone phone used factory warranty listing statedalways check warranty iphones youre buying factory unlocked phone lot people unlock old phone attempt sell new open package promptly contacted amazon refund
Apple iPhone 5c 32GB (Blue) - AT&T,Apple,274.95,3,Wasn't unlocked,Neutral,wasnt unlocked
Apple iPhone 5 16GB Verizon Wireless CDMA 4G LTE Cell Phone - Black.,Apple,124.95,5,Phone looked brand new. I've had it one month and it's working fine- no issues experienced so far.,Positive,phone looked brand new ive one month working fine issue experienced far
Apple iPhone 5s 32GB (Space Gray) - Verizon Wireless,Apple,49.0,5,It's was great!,Positive,great
Apple iPhone 5c 32GB (Yellow) - AT&T,Apple,224.77,5,"This was the only place I could find the 32 gb version. I made the switch from a Samsung S6 since I didn't really need all the customization. Plus, this phone is perfect for one hand usage. It's simple but effective. The seller didn't fail to give good service. The iPhone 's legit and I love it!",Positive,place could find gb version made switch samsung since didnt really need customization plus phone perfect one hand usage simple effective seller didnt fail give good service iphone legit love
Apple iPhone 5s 16GB (Space Gray) - Verizon Wireless,Apple,149.99,5,"Haven't activated this phone yet, as it is a Christmas gift, but the phone is in great condition (as described). So far, I am extremely satisfied with this purchase. Will update this review, if it is necessary.Update: We absolutely love this phone and I am very satisfied with the purchase.",Positive,havent activated phone yet christmas gift phone great condition described far extremely satisfied purchase update review necessaryupdate absolutely love phone satisfied purchase
Apple iPhone 5s 32GB (Space Gray) - T-Mobile,Apple,192.0,5,Arrived super fast so glad with my purchase! Cannot complain.,Positive,arrived super fast glad purchase cannot complain
