Product Name,Brand Name,Price,Rating,Reviews,Sentiment,Cleaned_Reviews
Apple iPhone 4 32GB (White) - Verizon,Apple,115.0,5,"I was worried about purchasing this phone due to the other reviews I read, however it came brand new as promised. Everything works well except for the speaker phone. I don't ever really use it so its not a huge deal.",Positive,worried purchasing phone due review read however came brand new promised everything work well except speaker phone dont ever really use huge deal
Apple iPhone 5c 32GB - Unlocked - (Yellow),Apple,224.77,5,I Love My Phone Works Perfectly Not One Problem.,Positive,love phone work perfectly one problem
Apple - Iphone 5c A1532 Verizon 16 GB Cell Phone - Green,Apple,33.0,5,I love it,Positive,love
Apple iPhone 4 A1332 32GB White (GSM Unlocked),Apple,138.97,4,"When I bought this phone, it arrived packaged as new, and it worked and looked fine with no problems. However, it came with iOS 7.1.1, which is rather confusing since that OS came out more than 2 years after the phone did. When I questioned the seller about it, they said that it was updated by Apple before they liquidated the phone off to the seller. Since I had specifically wanted it to have the original iOS, I returned it without any hassle.TL;DR - If you want the original iOS, don't buy this phone.",Positive,bought phone arrived packaged new worked looked fine problem however came io rather confusing since o came year phone questioned seller said updated apple liquidated phone seller since specifically wanted original io returned without hassletldr want original io dont buy phone
"Apple iPhone 5s AT&T Cellphone, 16GB, Gold",Apple,109.99,2,It's s*** and the screen pops up thank you so much for this bulls***.😊🔫,Negative,screen pop thank much bull
"Apple iPhone 5c A1532, 8 GB, Factory Unlocked (Pink)",Apple,159.99,5,Meet my expectations!,Positive,meet expectation
"Apple iPhone 5c A1532, 8 GB, Factory Unlocked (Pink)",Apple,159.99,1,Bought the phone thinking it was unlocked. However found out later that it was locked to AT&T. Becomes pretty much useless after that,Negative,bought phone thinking unlocked however found later locked att becomes pretty much useless
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",Unknown,99.99,5,Phones work perfectly. Wonderful transaction.,Positive,phone work perfectly wonderful transaction
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",Unknown,99.99,1,The phone died right after the ninety days,Negative,phone died right ninety day
Apple iPhone 4 A1332 32GB Black (GSM Unlocked),Apple,75.0,4,"Phone is good as expected, missing org box which was not mentioned.and best part its on latest iOS v",Positive,phone good expected missing org box mentionedand best part latest io v
Apple iPhone 4S 16GB Unlocked GSM - White (Certified Refurbished),Apple,129.99,1,DO NOT BUY THIS PHONE. IT DOESN'T WORK WITH VERIZON OR A&T. Had to return it.,Negative,buy phone doesnt work verizon return
Apple iPhone 5c 32GB (Pink) - AT&T,Apple,540.0,5,Fantastic. Met requirements works great. The charger didn't work but I went and bought a new one. Thank you! H,Positive,fantastic met requirement work great charger didnt work went bought new one thank h
Apple iPhone 5c a1532 8GB Blue Smartphone for AT&T,Apple,94.0,4,Phone arrived on time and so far working great.,Positive,phone arrived time far working great
